	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.0	189.0	50.0	0	O2 Plasma clean.txt	
	 5.0	300.0	 0.0	0	O2 Plasma clean.txt	
	 8.0	300.0	 0.0	0	O2 Plasma clean.txt	
	11.0	300.0	 0.0	0	O2 Plasma clean.txt	
	14.0	300.0	 0.0	0	O2 Plasma clean.txt	
	17.0	300.0	 2.0	0	O2 Plasma clean.txt	
	20.0	300.0	 2.0	0	O2 Plasma clean.txt	
	23.0	300.0	 2.0	0	O2 Plasma clean.txt	
	26.0	300.0	 2.0	0	O2 Plasma clean.txt	
	29.0	300.0	 2.0	0	O2 Plasma clean.txt	
	32.0	300.0	 2.0	0	O2 Plasma clean.txt	
	35.0	300.0	 2.0	0	O2 Plasma clean.txt	
	38.0	300.0	 2.0	0	O2 Plasma clean.txt	
	41.0	300.0	 2.0	0	O2 Plasma clean.txt	
	44.0	300.0	 2.0	0	O2 Plasma clean.txt	
	47.0	300.0	 2.0	0	O2 Plasma clean.txt	
	50.0	300.0	 2.0	0	O2 Plasma clean.txt	
	53.0	300.0	 2.0	0	O2 Plasma clean.txt	
	56.0	300.0	 2.0	0	O2 Plasma clean.txt	
	59.0	300.0	 2.0	0	O2 Plasma clean.txt	
	62.0	300.0	 2.0	0	O2 Plasma clean.txt	
	65.0	300.0	 2.0	0	O2 Plasma clean.txt	
	68.0	300.0	 2.0	0	O2 Plasma clean.txt	
	71.0	300.0	 2.0	0	O2 Plasma clean.txt	
	74.0	300.0	 2.0	0	O2 Plasma clean.txt	
	77.0	300.0	 2.0	0	O2 Plasma clean.txt	
	80.0	300.0	 2.0	0	O2 Plasma clean.txt	
	83.0	300.0	 3.0	0	O2 Plasma clean.txt	
	86.0	300.0	 2.0	0	O2 Plasma clean.txt	
	89.0	300.0	 3.0	0	O2 Plasma clean.txt	
	92.0	300.0	 2.0	0	O2 Plasma clean.txt	
	95.0	300.0	 3.0	0	O2 Plasma clean.txt	
	98.0	300.0	 3.0	0	O2 Plasma clean.txt	
	101.0	300.0	 3.0	0	O2 Plasma clean.txt	
	104.0	300.0	 2.0	0	O2 Plasma clean.txt	
	107.0	300.0	 3.0	0	O2 Plasma clean.txt	
	110.0	300.0	 2.0	0	O2 Plasma clean.txt	
	113.0	300.0	 2.0	0	O2 Plasma clean.txt	
	116.0	300.0	 3.0	0	O2 Plasma clean.txt	
	119.0	300.0	 3.0	0	O2 Plasma clean.txt	
	122.0	300.0	 2.0	0	O2 Plasma clean.txt	
	125.0	300.0	 3.0	0	O2 Plasma clean.txt	
	128.0	300.0	 3.0	0	O2 Plasma clean.txt	
	131.0	300.0	 3.0	0	O2 Plasma clean.txt	
	134.0	300.0	 3.0	0	O2 Plasma clean.txt	
	137.0	300.0	 3.0	0	O2 Plasma clean.txt	
	140.0	300.0	 3.0	0	O2 Plasma clean.txt	
	143.0	300.0	 3.0	0	O2 Plasma clean.txt	
	146.0	300.0	 3.0	0	O2 Plasma clean.txt	
	149.0	300.0	 3.0	0	O2 Plasma clean.txt	
	152.0	300.0	 3.0	0	O2 Plasma clean.txt	
	155.0	300.0	 1.0	0	O2 Plasma clean.txt	
	158.0	300.0	 1.0	0	O2 Plasma clean.txt	
	161.0	300.0	 1.0	0	O2 Plasma clean.txt	
	164.0	300.0	 1.0	0	O2 Plasma clean.txt	
	167.0	300.0	 1.0	0	O2 Plasma clean.txt	
	170.0	300.0	 1.0	0	O2 Plasma clean.txt	
	173.0	300.0	 1.0	0	O2 Plasma clean.txt	
	176.0	300.0	 1.0	0	O2 Plasma clean.txt	
	179.0	300.0	 1.0	0	O2 Plasma clean.txt	
	182.0	300.0	 1.0	0	O2 Plasma clean.txt	
	185.0	300.0	 1.0	0	O2 Plasma clean.txt	
	188.0	300.0	 1.0	0	O2 Plasma clean.txt	
	191.0	300.0	 1.0	0	O2 Plasma clean.txt	
	194.0	300.0	 1.0	0	O2 Plasma clean.txt	
	197.0	300.0	 1.0	0	O2 Plasma clean.txt	
	200.0	300.0	 1.0	0	O2 Plasma clean.txt	
	203.0	300.0	 1.0	0	O2 Plasma clean.txt	
	206.0	300.0	 1.0	0	O2 Plasma clean.txt	
	209.0	300.0	 1.0	0	O2 Plasma clean.txt	
	212.0	300.0	 1.0	0	O2 Plasma clean.txt	
	215.0	300.0	 1.0	0	O2 Plasma clean.txt	
	218.0	300.0	 1.0	0	O2 Plasma clean.txt	
	221.0	300.0	 1.0	0	O2 Plasma clean.txt	
	224.0	300.0	 1.0	0	O2 Plasma clean.txt	
	227.0	300.0	 1.0	0	O2 Plasma clean.txt	
	230.0	300.0	 1.0	0	O2 Plasma clean.txt	
	233.0	300.0	 1.0	0	O2 Plasma clean.txt	
	236.0	300.0	 1.0	0	O2 Plasma clean.txt	
	239.0	300.0	 1.0	0	O2 Plasma clean.txt	
	242.0	300.0	 1.0	0	O2 Plasma clean.txt	
	245.0	300.0	 1.0	0	O2 Plasma clean.txt	
	248.0	300.0	 1.0	0	O2 Plasma clean.txt	
	251.0	300.0	 1.0	0	O2 Plasma clean.txt	
	254.0	300.0	 1.0	0	O2 Plasma clean.txt	
	257.0	300.0	 1.0	0	O2 Plasma clean.txt	
	260.0	300.0	 1.0	0	O2 Plasma clean.txt	
	263.0	300.0	 1.0	0	O2 Plasma clean.txt	
	266.0	300.0	 1.0	0	O2 Plasma clean.txt	
	269.0	300.0	 1.0	0	O2 Plasma clean.txt	
	272.0	300.0	 1.0	0	O2 Plasma clean.txt	
	275.0	300.0	 1.0	0	O2 Plasma clean.txt	
	278.0	300.0	 1.0	0	O2 Plasma clean.txt	
	281.0	300.0	 1.0	0	O2 Plasma clean.txt	
	284.0	300.0	 1.0	0	O2 Plasma clean.txt	
	287.0	300.0	 1.0	0	O2 Plasma clean.txt	
	290.0	300.0	 1.0	0	O2 Plasma clean.txt	
	293.0	300.0	 1.0	0	O2 Plasma clean.txt	
	296.0	300.0	 1.0	0	O2 Plasma clean.txt	
	299.0	300.0	 1.0	0	O2 Plasma clean.txt	
	302.0	 0.0	 0.0	0	O2 Plasma clean.txt	
