	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.2	 0.0	 0.0	100	Plasma InOx	
	 5.2	 0.0	 0.0	100	Plasma InOx	
	 8.2	 0.0	 0.0	100	Plasma InOx	
	11.2	 0.0	 0.0	100	Plasma InOx	
	14.2	 0.0	 0.0	100	Plasma InOx	
	17.2	 0.0	 0.0	100	Plasma InOx	
	20.2	 0.0	 0.0	100	Plasma InOx	
	23.2	 0.0	 0.0	100	Plasma InOx	
	26.2	 0.0	 0.0	100	Plasma InOx	
	29.2	 0.0	 0.0	100	Plasma InOx	
	32.2	 0.0	 0.0	100	Plasma InOx	
	35.2	 0.0	 0.0	100	Plasma InOx	
	38.2	 0.0	 0.0	100	Plasma InOx	
	41.2	 0.0	 0.0	100	Plasma InOx	
	44.2	 0.0	 0.0	100	Plasma InOx	
	47.2	 0.0	 0.0	100	Plasma InOx	
	50.2	 0.0	 0.0	100	Plasma InOx	
	53.2	 0.0	 0.0	100	Plasma InOx	
	56.2	 0.0	 0.0	100	Plasma InOx	
	59.2	 0.0	 0.0	100	Plasma InOx	
	62.2	 0.0	 0.0	100	Plasma InOx	
	65.2	 0.0	 0.0	100	Plasma InOx	
	68.2	 0.0	 0.0	100	Plasma InOx	
	71.2	 0.0	 0.0	100	Plasma InOx	
	74.2	 0.0	 0.0	100	Plasma InOx	
	77.2	 0.0	 0.0	100	Plasma InOx	
	80.2	 0.0	 0.0	100	Plasma InOx	
	83.2	 0.0	 0.0	100	Plasma InOx	
	86.2	 0.0	 0.0	100	Plasma InOx	
	89.2	 0.0	 0.0	100	Plasma InOx	
	92.2	 0.0	 0.0	100	Plasma InOx	
	95.2	 0.0	 0.0	100	Plasma InOx	
	98.2	 0.0	 0.0	100	Plasma InOx	
	101.2	 0.0	 0.0	100	Plasma InOx	
	104.2	 0.0	 0.0	100	Plasma InOx	
	107.2	 0.0	 0.0	100	Plasma InOx	
	110.2	 0.0	 0.0	100	Plasma InOx	
	113.2	 0.0	 0.0	100	Plasma InOx	
	116.2	 0.0	 0.0	100	Plasma InOx	
	119.2	 0.0	 0.0	100	Plasma InOx	
	122.2	 0.0	 0.0	100	Plasma InOx	
	125.2	 0.0	 0.0	100	Plasma InOx	
	128.2	 0.0	 0.0	100	Plasma InOx	
	131.2	 0.0	 0.0	100	Plasma InOx	
	134.2	 0.0	 0.0	100	Plasma InOx	
	137.2	 0.0	 0.0	100	Plasma InOx	
	140.2	 0.0	 0.0	100	Plasma InOx	
	143.2	 0.0	 0.0	100	Plasma InOx	
	146.2	 0.0	 0.0	100	Plasma InOx	
	149.2	 0.0	 0.0	100	Plasma InOx	
	152.2	 0.0	 0.0	100	Plasma InOx	
	155.2	 0.0	 0.0	100	Plasma InOx	
	158.2	 0.0	 0.0	100	Plasma InOx	
	161.2	 0.0	 0.0	100	Plasma InOx	
	164.2	 0.0	 0.0	100	Plasma InOx	
	167.2	 0.0	 0.0	100	Plasma InOx	
	170.2	 0.0	 0.0	100	Plasma InOx	
	173.2	 0.0	 0.0	100	Plasma InOx	
	176.2	 0.0	 0.0	100	Plasma InOx	
	179.2	 0.0	 0.0	100	Plasma InOx	
	182.2	 0.0	 0.0	100	Plasma InOx	
	185.2	 0.0	 0.0	100	Plasma InOx	
	188.2	 0.0	 0.0	100	Plasma InOx	
	191.2	 0.0	 0.0	100	Plasma InOx	
	194.2	 0.0	 0.0	100	Plasma InOx	
	197.2	 0.0	 0.0	100	Plasma InOx	
	200.2	 0.0	 0.0	100	Plasma InOx	
	203.2	 0.0	 0.0	100	Plasma InOx	
	206.2	 0.0	 0.0	100	Plasma InOx	
	209.2	 0.0	 0.0	100	Plasma InOx	
	212.2	 0.0	 0.0	100	Plasma InOx	
	215.2	 0.0	 0.0	100	Plasma InOx	
	218.2	 0.0	 0.0	100	Plasma InOx	
	221.2	 0.0	 0.0	100	Plasma InOx	
	224.2	 0.0	 0.0	100	Plasma InOx	
	227.2	 0.0	 0.0	100	Plasma InOx	
	230.2	 0.0	 0.0	100	Plasma InOx	
	233.2	 0.0	 0.0	100	Plasma InOx	
	236.2	 0.0	 0.0	100	Plasma InOx	
	239.2	 0.0	 0.0	100	Plasma InOx	
	242.2	 0.0	 0.0	100	Plasma InOx	
	245.2	 0.0	 0.0	100	Plasma InOx	
	248.2	 0.0	 0.0	100	Plasma InOx	
	251.2	 0.0	 0.0	100	Plasma InOx	
	254.2	 0.0	 0.0	100	Plasma InOx	
	257.2	 0.0	 0.0	100	Plasma InOx	
	260.2	 0.0	 0.0	100	Plasma InOx	
	263.2	 0.0	 0.0	100	Plasma InOx	
	266.2	 0.0	 0.0	100	Plasma InOx	
	269.2	 0.0	 0.0	100	Plasma InOx	
	272.2	 0.0	 0.0	100	Plasma InOx	
	275.2	 0.0	 0.0	100	Plasma InOx	
	278.2	 0.0	 0.0	100	Plasma InOx	
	281.2	 0.0	 0.0	100	Plasma InOx	
