	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	 5.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	 8.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	11.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	14.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	17.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	20.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	23.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	26.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	29.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	32.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	35.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	38.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	41.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	44.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	47.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	50.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	53.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	56.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	59.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	62.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	65.0	300.0	 0.0	65	Plasma SiO2 from 3DMAS	
	68.0	300.0	 0.0	65	Plasma SiO2 from 3DMAS	
	71.0	300.0	 0.0	65	Plasma SiO2 from 3DMAS	
	74.0	300.0	 4.0	65	Plasma SiO2 from 3DMAS	
	77.0	300.0	 2.0	65	Plasma SiO2 from 3DMAS	
	80.0	300.0	 2.0	65	Plasma SiO2 from 3DMAS	
	83.0	300.0	 2.0	65	Plasma SiO2 from 3DMAS	
	86.0	 0.0	 0.0	65	Plasma SiO2 from 3DMAS	
	89.0	 0.0	 0.0	64	Plasma SiO2 from 3DMAS	
	92.0	 0.0	 0.0	64	Plasma SiO2 from 3DMAS	
	95.0	 0.0	 0.0	64	Plasma SiO2 from 3DMAS	
	98.0	 0.0	 0.0	64	Plasma SiO2 from 3DMAS	
	101.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	104.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	107.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	110.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	113.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	116.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	119.0	300.0	 2.0	64	Plasma SiO2 from 3DMAS	
	122.0	 0.0	 0.0	64	Plasma SiO2 from 3DMAS	
	125.0	 0.0	 0.0	63	Plasma SiO2 from 3DMAS	
	128.0	 0.0	 0.0	63	Plasma SiO2 from 3DMAS	
	131.0	 0.0	 0.0	63	Plasma SiO2 from 3DMAS	
	134.0	 0.0	 0.0	63	Plasma SiO2 from 3DMAS	
	137.0	300.0	 2.0	63	Plasma SiO2 from 3DMAS	
	140.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	143.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	146.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	149.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	152.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	155.0	300.0	 3.0	63	Plasma SiO2 from 3DMAS	
	158.0	 0.0	 0.0	63	Plasma SiO2 from 3DMAS	
	161.0	 0.0	 0.0	62	Plasma SiO2 from 3DMAS	
	164.0	 0.0	 0.0	62	Plasma SiO2 from 3DMAS	
	167.0	 0.0	 0.0	62	Plasma SiO2 from 3DMAS	
	170.0	 0.0	 0.0	62	Plasma SiO2 from 3DMAS	
	173.0	300.0	 2.0	62	Plasma SiO2 from 3DMAS	
	176.0	300.0	 2.0	62	Plasma SiO2 from 3DMAS	
	179.0	300.0	 2.0	62	Plasma SiO2 from 3DMAS	
