	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	 4.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	 7.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	10.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	13.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	16.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	19.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	22.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	25.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	28.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	31.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	34.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	37.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	40.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	43.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	46.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	49.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	52.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	55.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	58.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	61.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	64.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	67.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	70.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	73.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	76.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	79.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	82.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	85.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	88.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	91.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	94.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	97.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	100.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	103.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	106.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	109.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	112.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	115.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	118.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	121.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	124.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	127.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	130.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	133.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	136.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	139.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	142.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	145.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	148.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	151.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	154.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	157.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	160.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	163.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	166.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	169.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	172.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	175.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	178.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	181.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	184.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	187.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	190.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	193.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	196.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	199.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	202.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	205.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	208.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	211.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	214.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	217.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	220.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	223.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	226.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	229.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	232.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	235.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	238.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	241.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	244.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	247.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	250.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	253.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	256.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	259.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	262.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	265.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	268.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	271.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	274.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	277.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	280.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	283.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	286.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	289.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	292.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	295.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	298.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	301.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	304.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	307.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	310.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	313.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	316.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	319.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	322.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	325.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	328.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	331.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	334.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	337.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	340.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	343.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	346.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	349.7	 0.0	 0.0	90	Thermal_HfO2 STANDARD	
	352.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	355.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	358.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	361.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	364.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	367.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	370.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	373.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	376.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	379.7	 0.0	 0.0	89	Thermal_HfO2 STANDARD	
	382.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	385.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	388.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	391.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	394.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	397.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	400.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	403.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	406.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	409.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	412.7	 0.0	 0.0	88	Thermal_HfO2 STANDARD	
	415.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	418.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	421.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	424.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	427.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	430.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	433.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	436.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	439.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	442.7	 0.0	 0.0	87	Thermal_HfO2 STANDARD	
	445.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	448.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	451.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	454.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	457.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	460.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	463.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	466.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	469.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	472.7	 0.0	 0.0	86	Thermal_HfO2 STANDARD	
	475.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	478.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	481.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	484.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	487.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	490.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	493.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	496.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	499.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	502.7	 0.0	 0.0	85	Thermal_HfO2 STANDARD	
	505.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	508.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	511.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	514.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	517.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	520.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	523.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	526.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	529.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	532.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	535.7	 0.0	 0.0	84	Thermal_HfO2 STANDARD	
	538.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	541.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	544.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	547.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	550.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	553.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	556.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	559.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	562.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	565.7	 0.0	 0.0	83	Thermal_HfO2 STANDARD	
	568.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	571.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	574.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	577.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	580.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	583.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	586.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	589.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	592.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	595.7	 0.0	 0.0	82	Thermal_HfO2 STANDARD	
	598.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	601.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	604.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	607.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	610.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	613.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	616.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
	619.7	 0.0	 0.0	81	Thermal_HfO2 STANDARD	
